A,B,,,,,,,,,,,Description,Connected groups
Melody Kuo,Build Canada,,,,,,,,,,,"""Product"", Build Canada",Build Canada
Andrew Potter,McGill Institute for the Study of Canada,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Andrew_Potter
Andrew Potter,Ottawa Citizen,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Andrew_Potter
Andrew Potter,Build Canada,,,,,,,,,,,"""Contract Media,"" Build Canada",Build Canada,
Brendan Samek,Build Canada,,,,,,,,,,,"""Contract Engineereing"", Build Canada",Build Canada,
Jesse Lee,Build Canada,,,,,,,,,,,"Engineer, Build Canada",Build Canada,
Danielle Smith,Wildrose Party,,,,,,,,,,,,,
Danielle Smith,United Conservative Party,,,,,,,,,,,Alberta premier.,,
Peter Zeihan,Stratfor,,,,,,,,,,,From wiki: Geopolitical analyst Peter Zeihan in his 2014 book The Accidental Superpower presented reasons why he believed both Alberta and the United States would benefit from Alberta joining the United States as the 51st state,,https://en.wikipedia.org/wiki/Peter_Zeihan
Benita Pedersen,Take Back Alberta,,,,,,,,,,,,"""All Fired up for Freedom""",https://pressprogress.ca/take-back-alberta-organizer-leading-campaign-against-rainbow-crosswalk-in-small-town-alberta/
Colin N. Macleod,AECOM,,,,,,,,,,,,,https://www.linkedin.com/in/colin-macleod-117848/?originalSubdomain=ca
Colin N. Macleod,BP,,,,,,,,,,,,,https://www.linkedin.com/in/colin-macleod-117848/?originalSubdomain=ca
Colin N. Macleod,Suncor,,,,,,,,,,,,,https://www.linkedin.com/in/colin-macleod-117848/?originalSubdomain=ca
Colin N. Macleod,Murphy Oil,,,,,,,,,,,Author,,https://www.linkedin.com/in/colin-macleod-117848/?originalSubdomain=ca
Patricia Adams,The Epoch Times,,,,,,,,,,,,,
Patricia Adams,Energy Probe Research Foundation,,,,,,,,,,,"economist and former president of the Energy Probe Research Foundation and Probe International, an independent think tank in Canada and around the world", | The Epoch Times,
Rob Anderson,Wildrose Party,,,,,,,,,,,,,
Rob Anderson,Free Alberta Strategy Group,,,,,,,,,,,"The Free Alberta Strategy co-author | Rob Anderson is an Alberta lawyer practicing civil
litigation, a political commentator for ‘Rob Anderson
Unfi ltered’, and former Member of the Legislative
Assembly of Alberta for Airdrie from 2008 – 2015.",The Free Alberta Strategy Group,
Barry Cooper,University of Calgary,,,,,,,,,,,,,
Barry Cooper,Free Alberta Strategy Group,,,,,,,,,,,The Free Alberta Strategy co-author.  Professor of political science at the University of Calgary,The Free Alberta Strategy Group,
Derek From,Fraser Institute,,,,,,,,,,,,,
Derek From,Canadian Constitution Foundation,,,,,,,,,,,,,
Derek From,Alberta Law Review,,,,,,,,,,,,,
Derek From,Free Alberta Strategy Group,,,,,,,,,,,"The Free Alberta Strategy co-author. ""Alberta lawyer specializing in
charter and constitutional issues"" … ""has written several articles and reports for the Fraser
Institute, Alberta Law Review and Canadian Constitution Foundation""",The Free Alberta Strategy Group | Canadian Constitution Foundation,
John Carpay,Justice Centre for Constitutional Freedoms,,,,,,,,,,,president of the Justice Centre for Constitutional Freedoms (jccf.ca),Justice Centre for Constitutional Freedoms
